source,code_or_id,name,challenge_description,type,current_pack,difficulty,assigned_deck,selected_status,flags,notes
mission_card,CHA-001,Score Doubler,"If any player makes birdie, they choose one opponent whose game points are canceled or doubled negatively.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-006,Copycat,"If two players complete the same style of achievement, both get +1 extra.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-008,Comeback Card,Player currently last in game score gets +1 bonus if they complete any mission.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-009,Pressure Cooker,"If you miss a putt inside 4 feet, you cannot score mission points.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-010,No Safe Plays,Layups do not count for mission rewards unless card explicitly allows it.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-014,Target Golf,Approach shots on green earn +1 extra if player also avoids a 3-putt.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-016,Revenge Hole,Player with lowest game points on previous hole gets first tie-break rights on this hole.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-017,Team Trouble,"If one player finds water, every other player making bogey or better gets +1.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-019,Double Trouble,"If two or more players fail their missions, all successful players gain +1 extra.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-020,Rich Get Richer,Current game leader earns +1 if they complete any mission this hole.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-022,Par 3 Panic,"On a par 3, anyone missing the green cannot earn mission points.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-023,The Collector,Any player who completes their mission and makes par or better steals 1 point from the current leader.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-024,Heat Check,"If the same player succeeds on three holes in a row, they gain +2 extra here.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-025,Freeze Out,The previous hole's winner cannot earn bonus points from Chaos this hole.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-029,Clutch Multiplier,Any made putt over 12 feet is worth +2 instead of +1 bonus.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-030,Fairway Tax,Any player missing the fairway on a par 4 or 5 loses 1 game point unless their mission specifically involves recovery.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-032,Commoner's Relief,Any player completing a Common card this hole gets +1 extra if they are currently last in game points.,chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-034,Shared Glory,"If every player completes their personal mission, everyone gets +2.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
mission_card,CHA-035,Only Pars Matter,"Any player making par or better earns +1 game point, even if they fail their mission.",chaos,chaos,neutral,Cut / App-Only,cut,,Not in current physical packs.
