source,code_or_id,name,challenge_description,type,current_pack,difficulty,assigned_deck,selected_status,flags,notes
mission_card,COM-001,Fairway Finder,Hit the fairway off the tee on a par 4 or 5.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-002,Green Light,Reach the green in regulation.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-003,Clean Start,No penalty strokes on the hole.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-004,Two-Putt Pro,Take no more than two putts once on the green.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-005,Bogey Saver,Make bogey or better.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-006,Solid Contact,Advance every full swing at least 70% of intended distance with no whiffs or duffs.,common,classic,medium,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-007,No Sand Trouble,Avoid all bunkers on the hole.,common,classic,easy,Core Match Play,selected,course_specific,Selected for physical print run.
mission_card,COM-008,Recovery Artist,Miss the fairway but still make bogey or better.,common,classic,medium,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-009,Safe Layup,"On a par 5, do not go for the green in two, then make bogey or better.",common,classic,medium,Cut / App-Only,cut,course_specific,too course-specific
mission_card,COM-010,First-Putt Friend,Your first putt finishes within 3 feet of the hole.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-011,Straight Ball,No shot on the hole ends out of bounds or in a hazard.,common,classic,medium,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-012,Par 3 Survivor,"On a par 3, make bogey or better.",common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-013,Good Miss,Miss the green but get up-and-down for bogey or better.,common,classic,medium,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-014,Center Face-ish,No topped or chunked full swings on the hole.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-015,Keep It Moving,Play the hole without taking a provisional or re-tee.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-016,Stress-Free Finish,Hole out with one putt from inside 6 feet.,common,classic,medium,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-017,No Big Number,Score double bogey or better.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-018,Respectable Hole,"Hit either the fairway or green, and make bogey or better.",common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-019,Fair Miss,"Miss the fairway, but stay in bounds and avoid hazards.",common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-020,Safe Green,"Miss the green, but leave yourself a chip or putt from a makeable position.",common,classic,easy,Cut / App-Only,cut,,over target count for physical pack
mission_card,COM-021,Advance and Survive,No full shot travels backward or sideways more than forward.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-022,No Three Off the Tee,Do not hit out of bounds off the tee.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-023,Lag Master,Your longest putt of the hole finishes within 4 feet.,common,classic,easy,Core Match Play,selected,,Selected for physical print run.
mission_card,COM-024,Good Number,Make net par relative to your normal level for the hole.,common,classic,easy,Cut / App-Only,cut,,over target count for physical pack
