packId,packName,code,name,challenge,points,difficulty,type,visibility,eligiblePars,requiredTags,excludedTags,rulesText
curse,Curse,CUR-001,No Warm Blanket,You cannot use your favorite club on the hole.,3,hard,curse,Personal,"3, 4, 5",-,-,Manual mission check. You cannot use your favorite club on the hole. Reward: +3.
curse,Curse,CUR-002,Pressure Tee,You must tee off first regardless of honors.,2,medium,curse,Personal,"3, 4, 5",-,-,Manual mission check. You must tee off first regardless of honors. Reward: +2.
curse,Curse,CUR-003,No Practice Swing,No practice swings on any full shot this hole.,2,medium,curse,Personal,"3, 4, 5",-,-,Manual mission check. No practice swings on any full shot this hole. Reward: +2.
curse,Curse,CUR-004,Putter Nerves,Any putt inside 5 feet must be holed cleanly with no gimmies.,2,medium,curse,Personal,"3, 4, 5",-,-,Manual mission check. Any putt inside 5 feet must be holed cleanly with no gimmies. Reward: +2.
curse,Curse,CUR-005,One-Club Down,You must club down by one on one full swing this hole.,3,hard,curse,Personal,"3, 4, 5",-,-,Manual mission check. You must club down by one on one full swing this hole. Reward: +3.
curse,Curse,CUR-006,One-Club Up,"On one full swing this hole, you must take one extra club and choke down or swing easy.",3,hard,curse,Personal,"3, 4, 5",-,-,"Manual mission check. On one full swing this hole, you must take one extra club and choke down or swing easy. Reward: +3."
curse,Curse,CUR-007,Silent Swing,"No talking through your setup, shot, or immediate result. Stay silent until the ball stops.",2,medium,curse,Personal,"3, 4, 5",-,-,"Manual mission check. No talking through your setup, shot, or immediate result. Stay silent until the ball stops. Reward: +2."
curse,Curse,CUR-008,Commit or Else,You must choose your club within 10 seconds once it is your turn.,2,medium,curse,Personal,"3, 4, 5",-,-,Manual mission check. You must choose your club within 10 seconds once it is your turn. Reward: +2.
curse,Curse,CUR-009,No Rangefinder,You may not use a rangefinder or GPS on the hole.,2,medium,curse,Personal,"3, 4, 5",-,-,Manual mission check. You may not use a rangefinder or GPS on the hole. Reward: +2.
curse,Curse,CUR-010,Blind Confidence,You must pick your club before hearing anyone else's yardage or advice.,2,medium,curse,Personal,"3, 4, 5",-,-,Manual mission check. You must pick your club before hearing anyone else's yardage or advice. Reward: +2.
curse,Curse,CUR-011,Texas Hold'em,"If your ball is on the fringe, you must putt it rather than chip it.",2,medium,curse,Personal,"3, 4, 5",-,-,"Manual mission check. If your ball is on the fringe, you must putt it rather than chip it. Reward: +2."
curse,Curse,CUR-012,Fairway Wood Jail,"On one non-tee full swing, you must use a fairway wood or hybrid.",3,hard,curse,Personal,"3, 4, 5",-,-,"Manual mission check. On one non-tee full swing, you must use a fairway wood or hybrid. Reward: +3."
curse,Curse,CUR-013,No Hero Clause,"If you get into trouble, you must take the safe punch-out instead of a miracle shot.",2,medium,curse,Personal,"3, 4, 5",-,-,"Manual mission check. If you get into trouble, you must take the safe punch-out instead of a miracle shot. Reward: +2."
curse,Curse,CUR-014,Bare Minimum,"You must make bogey or better or lose 1 game point. If you do, gain the listed reward.",3,hard,curse,Personal,"3, 4, 5",-,-,Manual mission check. Make bogey or better to gain +3. Failure may also apply a manual -1 penalty.
curse,Curse,CUR-015,Clean Finish,"Once you reach the green, you may not leave any putt short of the hole.",3,hard,curse,Personal,"3, 4, 5",-,-,"Manual mission check. Once you reach the green, you may not leave any putt short of the hole. Reward: +3."
curse,Curse,CUR-016,No Driver Day,You may not use driver on this hole.,3,hard,curse,Personal,"3, 4, 5",-,-,Manual mission check. You may not use driver on this hole. Reward: +3.
curse,Curse,CUR-017,No Free Drops,You may not take optional free relief on this hole (mandatory relief still applies).,2,medium,curse,Personal,"3, 4, 5",-,-,Manual mission check. You may not take optional free relief on this hole (mandatory relief still applies). Reward: +2.
curse,Curse,CUR-018,One Ball Only,You may not hit a provisional or second ball on this hole.,2,medium,curse,Personal,"3, 4, 5",-,-,Manual mission check. You may not hit a provisional or second ball on this hole. Reward: +2.
